"id","name","swings_competitive","percent_swings_competitive","contact","avg_bat_speed","hard_swing_rate","squared_up_per_bat_contact","squared_up_per_swing","blast_per_bat_contact","blast_per_swing","swing_length","swords","batter_run_value","whiffs","whiff_per_swing","batted_ball_events","batted_ball_event_per_swing"
656288,"Canning, Griffin",1196,0.9221279876638396,919,"72.18635112",0.26755852842809374,0.36126224156692055,0.27759197324414714,0.14689880304678998,0.112876254180602,"7.437180393",26,-17.051379740953024,277,0.23160535117056857,483,0.40384615384615385
641712,"Hudson, Dakota",504,0.9264705882352942,413,"72.174539306",0.26388888888888895,0.4358353510895884,0.35714285714285715,0.17191283292978207,0.14087301587301587,"7.484271151",5,-0.8033241896651023,91,0.18055555555555555,248,0.49206349206349204
571578,"Corbin, Patrick",1184,0.9142857142857143,944,"72.173895059",0.2719594594594595,0.3591101694915254,0.28631756756756754,0.19491525423728814,0.1554054054054054,"7.499059637",25,-1.8199725252348755,240,0.20270270270270271,497,0.4197635135135135
593423,"Montas, Frankie",1090,0.9182813816343723,838,"72.167752028",0.2688073394495413,0.2852028639618138,0.21926605504587157,0.13961813842482101,0.10733944954128441,"7.37016556",15,-19.822443575397827,252,0.23119266055045873,383,0.3513761467889908
669432,"Rogers, Trevor",908,0.9497907949790795,734,"72.151620903",0.2621145374449339,0.3460490463215259,0.27973568281938327,0.167574931880109,0.1354625550660793,"7.38280261",12,-5.143692808644984,174,0.19162995594713655,358,0.394273127753304
641540,"Dunning, Dane",633,0.9042857142857142,500,"72.145652417",0.2796208530805688,0.356,0.2812006319115324,0.174,0.13744075829383887,"7.415928831",6,-7.002606221009911,133,0.21011058451816747,255,0.4028436018957346
681190,"Vásquez, Randy",710,0.907928388746803,581,"72.142580479",0.24507042253521127,0.32358003442340794,0.2647887323943662,0.13769363166953527,0.11267605633802817,"7.301374408",14,-5.154063567762308,129,0.18169014084507043,298,0.4197183098591549
664285,"Valdez, Framber",927,0.9178217821782179,687,"72.131091974",0.27723840345199574,0.388646288209607,0.28802588996763756,0.16011644832605532,0.1186623516720604,"7.426494207",20,-51.509488223941986,240,0.2588996763754045,387,0.4174757281553398
669358,"Baz, Shane",539,0.9182282793867121,413,"72.108139592",0.2523191094619667,0.3365617433414044,0.25788497217068646,0.13075060532687652,0.10018552875695733,"7.249386456",7,-22.32242136755406,126,0.23376623376623376,205,0.3803339517625232
471911,"Carrasco, Carlos",707,0.9314888010540184,563,"72.105239463",0.2715700141442717,0.33570159857904086,0.26732673267326734,0.15630550621669628,0.12446958981612447,"7.473634781",13,-0.5216358727346286,144,0.2036775106082037,285,0.4031117397454031
