"name","id","total_runs","inf_of_runs","range_runs","arm_runs","dp_runs","catching_runs","framing_runs","throwing_runs","blocking_runs","outs_total","outs_2","outs_3","outs_4","outs_5","outs_6","outs_7","outs_8","outs_9"
"Caballero, José",676609,17.63108865739921,17.63108865739921,14.895347631869456,-0.6904561823080738,3.4261972078378293,,,,,7826,0,0,2362,1131,3554,99,45,632
"Murphy, Sean",669221,17.29431809949978,,,,,17.29431809949978,4.629308001608346,3.9266795823704324,8.738330515521001,6279,6279,0,0,0,0,0,0,0
"Adames, Willy",642715,17.188429389914425,17.188429389914425,15.63710952422341,0.44041575383711207,1.1109041118538951,,,,,12234,0,0,0,0,12234,0,0,0
"Moreno, Gabriel",672515,17.036063837916664,,,,,17.036063837916664,1.9355124081555601,11.138867082952457,3.9616843468086413,6552,6552,0,0,0,0,0,0,0
"Chapman, Matt",656305,16.17337989393064,16.17337989393064,14.637559282244457,-0.21913364883592626,1.7549542605221098,,,,,11004,0,0,0,11004,0,0,0,0
"Edman, Tommy",669242,16.01686223401862,16.01686223401862,14.83898109180814,1.1369234931090002,0.04095764910147848,,,,,6743,0,0,2703,303,1571,0,2033,133
"Contreras, William",661388,15.780062690713986,,,,,15.780062690713986,13.320555779599145,0.7278942775427906,1.7316126335720508,9349,9343,3,0,0,0,3,0,0
"Merrill, Jackson",701538,14.92930245710668,14.92930245710668,12.513400037581206,2.415902419525475,,,,,,6974,0,0,0,0,0,0,6974,0
"Arenado, Nolan",571448,14.78328483936563,14.78328483936563,13.38212318320121,,1.4011616561644202,,,,,9734,0,0,0,9734,0,0,0,0
"Lopez, Otto",672640,14.416228307756908,14.416228307756908,17.30011120182714,0.93411502945969,-3.817997923529917,,,,,6514,0,0,3347,111,3026,21,9,0
"Fortes, Nick",663743,14.332686704897494,,,,,14.332686704897494,9.842554284131396,-1.8486495029544,6.338781923720504,6671,6671,0,0,0,0,0,0,0
"Langford, Wyatt",694671,14.254790010575064,14.254790010575064,11.27491536454023,2.9798746460348435,,,,,,6265,0,0,0,0,0,5022,1243,0
"Vázquez, Christian",543877,14.141291094815623,-0.519958667603148,-0.519958667603148,,,14.661249762418775,10.773706305394134,0.9808519281107002,2.906691528913946,6209,6093,72,10,34,0,0,0,0
"Fermin, Freddy",666023,13.96884908295641,,,,,13.96884908295641,2.3126711009578056,8.190324870989542,3.465853111009059,5901,5898,0,3,0,0,0,0,0
"Scott II, Victor",687363,13.739059297007548,13.739059297007548,17.540352702347022,-3.80129340533949,,,,,,4482,0,0,0,0,0,75,4349,58
"Taylor, Tyrone",621438,13.39729744622344,13.39729744622344,7.483501636254868,5.913795809968572,,,,,,6422,0,0,0,0,0,839,3288,2295
"Pages, Andy",681624,13.178562264669358,13.178562264669358,9.630841478424763,3.54772078624459,,,,,,6908,0,0,0,0,0,573,4917,1418
