"pitcher","pitcher_name","pitch_hand","n_pitches","team_id","ball_angle","relative_release_ball_x","release_ball_z","relative_shoulder_x","shoulder_z"
571578,"Corbin, Patrick","L",2910,120,"40.9",1.6548243417073265,6.30733676975945,-0.13922748411954597,4.751880087840197
571656,"Farmer, Buck","R",1222,113,"32.7",-1.7951371393477342,5.808551554828151,0.21194171976334056,4.518535493959524
571760,"Heaney, Andrew","L",2601,140,"28.9",2.3204429228171715,5.010534409842368,0.33602764554425457,3.9140175343913386
571927,"Matz, Steven","L",1815,138,"35.0",1.984361479851532,5.6091845730027545,0.056039165745937744,4.26037109966952
571945,"Mikolas, Miles","R",3197,138,"47.5",-1.7304615759839226,6.553431341883015,-0.03808546620968745,4.7082247027767234
571948,"Milner, Hoby","L",1027,158,"-2.4",2.8942818279958265,4.2652677702044794,0.6546967317368657,4.360656838706094
572020,"Paxton, James","L",1689,111,"45.2",1.7148439059758953,6.079182948490231,-0.015487654045417078,4.3388580942641335
572403,"VerHagen, Drew","R",1019,138,"48.7",-1.7183410543362245,6.386162904808636,-0.10318260361509221,4.544425417950212
572955,"Johnson, Pierce","R",1084,9999,"40.2",-1.864920430222501,6.04429889298893,-0.12817397340016182,4.573148095371996
573186,"Stroman, Marcus","R",2129,112,"34.3",-1.9171329921177374,5.267444809769845,-0.2078632695590726,4.0989925502085205
579328,"Kikuchi, Yusei","L",2817,141,"42.0",1.68007666891187,5.399219027334043,0.03226147059139917,3.915944106478555
592332,"Gausman, Kevin","R",3066,141,"38.4",-1.9826742597681175,5.7288519243313765,-0.09434476766630272,4.230070325157875
592351,"Gray, Jon","R",2392,140,"29.9",-2.1627196049272124,5.558574414715719,-0.15618693945653664,4.404529321073215
592767,"Smyly, Drew","L",2400,112,"46.4",1.647841442913076,6.4388875,-0.017348719808377898,4.6850482888443254
592789,"Syndergaard, Noah","R",1404,9999,"40.0",-1.7687143960306169,6.315007122507122,0.002097828714495389,4.830251696134294
592791,"Taillon, Jameson","R",2529,112,"43.6",-1.6337413690469378,6.014242783708976,0.06915972131474539,4.388469471210605
592836,"Walker, Taijuan","R",2831,143,"39.9",-1.9774686569714086,6.430130695867184,-0.15046139261587554,4.900435890865771
592866,"Williams, Trevor","R",2517,120,"18.4",-2.625877349524728,5.012240762812873,-0.4034178519755502,4.2713911974332115
593334,"Germán, Domingo","R",1575,147,"31.3",-2.350764668415867,5.544349206349207,-0.17189759335653454,4.220282498656028
593576,"Neris, Héctor","R",1092,117,"39.7",-1.8157715817472906,6.041675824175824,-0.004922781711752297,4.535810930572695
593958,"Rodriguez, Eduardo","L",2369,116,"37.8",2.046316775172234,5.808666103841283,0.2093528781972131,4.384099104219761
594580,"Moll, Sam","L",1025,9999,"18.4",2.1186138318349927,5.0614536585365855,0.053297614625451066,4.37484560253902
594902,"Lively, Ben","R",1383,113,"35.6",-1.7981311705467458,5.12355025307303,-0.08158367765958681,3.891618899148432
595345,"Okert, Steven","L",1019,146,"31.7",2.474256890961477,5.7135819430814525,0.42845617649682766,4.450327429813927
596001,"Junis, Jakob","R",1332,137,"31.2",-2.192663102051557,5.818641141141141,-0.21971261823320648,4.623065659108306
596133,"Weaver, Luke","R",2258,9999,"47.0",-1.4381739259800084,5.747643932683791,0.09875661131188927,4.097224575958091
596295,"Gomber, Austin","L",2160,115,"53.8",0.9891606712616718,6.596990740740741,-0.42642069250511655,4.660265374249026
601713,"Pivetta, Nick","R",2277,111,"55.5",-1.0333076125174483,6.592986385595081,0.2807584851068227,4.68222212428869
605130,"Barlow, Scott","R",1197,9999,"29.0",-2.2079721561992565,5.215948203842941,-0.1863076243788318,4.096959562527829
605135,"Bassitt, Chris","R",3138,141,"39.5",-1.9206436449929127,5.628945188017846,0.08857533895358943,3.9725977326975754
605182,"Clevinger, Mike","R",2013,145,"44.9",-1.5865063304700437,5.783273720814704,0.020901974244062434,4.180219198649066
605200,"Davies, Zach","R",1443,109,"35.8",-1.9950088454622035,5.512106722106722,-0.29231900767489005,4.285278930493637
605280,"Holmes, Clay","R",1021,147,"46.1",-1.628578164451293,6.559608227228208,0.09990511652795746,4.763033304788392
605288,"Houser, Adrian","R",1856,158,"41.4",-1.8336444945806851,5.881449353448276,-0.0835647132775524,4.338701245370797
605397,"Musgrove, Joe","R",1411,135,"36.2",-2.2999288364489074,6.373260099220411,-0.24832651271964232,4.872021045553716
605400,"Nola, Aaron","R",3087,143,"23.0",-2.325297769827297,5.168445092322643,-0.21841099256441393,4.273039209536629
605483,"Snell, Blake","L",3107,135,"57.5",1.0855718822422402,6.594708722240103,-0.20412877408095229,4.567750712897735
605540,"Woodruff, Brandon","R",1043,158,"42.8",-1.6049674195387995,5.829357622243529,0.06960513985948254,4.277600859562861
606160,"Montero, Rafael","R",1253,117,"35.4",-1.7814898380311481,5.050837988826816,0.09621229590871393,3.7151229382458926
606303,"Payamps, Joel","R",1116,158,"29.9",-2.003642195305088,5.682329749103943,0.0902099009545167,4.4782739014911925
607067,"Rea, Colin","R",1993,158,"37.5",-1.9005636619786814,5.6304666332162565,-0.12118515942161201,4.264332282552212
607074,"Rodón, Carlos","L",1133,147,"47.0",1.577664989425128,6.428490732568402,-0.05194527983222495,4.681115062624585
607192,"Glasnow, Tyler","R",1839,139,"55.3",-1.264560721592076,6.048798259923871,0.1473661276908806,4.0057068578986295
607259,"Martinez, Nick","R",1651,135,"58.0",-0.9265601337230875,6.150321017565112,0.274466409165946,4.223789226267017
607481,"Bummer, Aaron","L",1071,145,"9.2",2.5292021141471612,5.186573295985061,0.25249814257253705,4.816025002371715
607536,"Freeland, Kyle","L",2413,115,"24.5",2.2417938882430914,5.708777455449647,0.1626767942583732,4.763515026597611
607625,"Lugo, Seth","R",2259,135,"39.4",-1.974444672668619,5.626657813191677,-0.07563498160260522,4.061176351634461
608032,"Estévez, Carlos","R",1127,108,"39.6",-1.696987586671986,5.775492457852707,0.19753064799042147,4.205353073877773
608331,"Fried, Max","L",1203,144,"49.7",1.4399235146890108,5.9782294264339155,-0.11302532572312535,4.146814545187833
608337,"Giolito, Lucas","R",3190,9999,"51.3",-1.4125641091339278,6.325905956112853,0.09174520521460222,4.444616704384803
608344,"Irvin, Cole","L",1268,110,"42.2",1.9336807334096735,6.20333596214511,0.22535904690812372,4.652408495490253
608371,"Sims, Lucas","R",1056,113,"39.0",-1.5268217312716157,5.707111742424242,0.18831791410090207,4.31908888390928
608379,"Wacha, Michael","R",2220,135,"53.1",-1.171320314827797,6.579247747747748,0.22269330213903743,4.719214736755472
608665,"Graveman, Kendall","R",1113,9999,"44.7",-1.577850874929474,5.771437556154537,0.03696881090915498,4.170748945535904
608717,"Stratton, Chris","R",1337,9999,"37.8",-1.795542177578832,5.8517501869857895,0.09457079828599693,4.384050158854594
608718,"Suter, Brent","L",1128,115,"53.0",1.2447780345000494,6.290274822695036,-0.012419088570308854,4.623614525969963
612434,"Castro, Miguel","R",977,109,"17.2",-2.679131257672524,5.001606960081883,-0.28106243475151294,4.2595499345918695
615698,"Quantrill, Cal","R",1706,114,"46.5",-1.5559941335381882,6.308065650644783,0.11997691883318393,4.543615841749681
621016,"Cuas, Jose","R",1176,9999,"2.6",-3.2527107700797835,4.041037414965986,-0.8279514952950877,3.9325552332296554
621076,"Kaprielian, James","R",1090,133,"33.2",-2.09608128702991,5.914211009174312,-0.28559755139086496,4.7298857773634895
621107,"Eflin, Zach","R",2506,139,"32.8",-2.3767779819986976,5.922210694333599,-0.29855521692679104,4.584624306975202
621112,"Blackburn, Paul","R",1874,133,"49.4",-1.4741572024089613,5.952401280683031,0.041459435002292364,4.185062718464702
621244,"Berríos, José","R",2936,141,"41.3",-2.041669921330801,5.634356267029973,-0.3021771457462103,4.105737906897959
621345,"Minter, A.J.","L",1041,144,"42.2",1.6783107259296914,5.773938520653218,0.11960152739464489,4.3591603958726095
621381,"Strahm, Matt","L",1366,143,"32.7",2.1462065710862874,5.454648609077599,0.06404407693331558,4.119035113711397
621383,"Banks, Tanner","L",1007,145,"48.4",1.7032548863623331,6.304131082423039,0.1522071542871911,4.5534074244105875
621389,"Blach, Ty","L",1263,115,"21.5",2.3502974613942427,5.743428345209818,0.1428598698314711,4.873277343153486
622072,"Wood, Alex","L",1705,137,"18.2",2.8116739189868407,4.763108504398827,0.4742677075394274,3.995903399407217
622098,"Smith, Drew","R",1081,121,"40.5",-1.8079061126077454,5.51840888066605,-0.11096313590275064,4.066600105368865
622491,"Castillo, Luis","R",3205,136,"18.1",-2.3783544498787075,5.092408736349454,-0.11749658276812355,4.354178703173796
622663,"Severino, Luis","R",1636,147,"42.5",-1.4843381331372598,6.049957212713936,0.11883252264119695,4.579468219462713
623149,"Sewald, Paul","R",994,9999,"17.4",-2.612320794446034,4.422193158953722,-0.6278567125569818,3.799021248345689
623167,"Flexen, Chris","R",1752,9999,"69.5",-0.3546806848431486,6.8030993150684935,0.4593618180699013,4.622800873867605
623211,"Brazobán, Huascar","R",1012,146,"35.7",-2.171309592888599,5.73649209486166,-0.05619836375261567,4.212355707094193
623352,"Hader, Josh","L",992,135,"33.4",2.104834449940312,5.5436895161290325,0.13646782612055086,4.24581536435872
623437,"Topa, Justin","R",1043,136,"12.2",-2.8530352009392317,4.896845637583892,-0.526972336585641,4.391955788184706
624133,"Suárez, Ranger","L",2021,143,"40.0",1.7777388029943166,5.877773379515092,0.01429405864095447,4.39614077352681
625643,"López, Reynaldo","R",1204,9999,"42.4",-1.6281823980703223,5.794094684385382,-0.08730028840288759,4.388930190881849
628317,"Maeda, Kenta","R",1700,142,"39.6",-1.8931764773440447,5.760464705882353,-0.16203519780853518,4.325286403690888
628711,"Urías, Julio","L",1849,119,"44.9",1.7115291720878385,6.010951865873445,0.03136948126317738,4.335643120335798
630023,"Chirinos, Yonny","R",1342,9999,"46.4",-1.543570396288488,6.622332339791356,0.1356909768988208,4.856536496662071
640448,"Finnegan, Kyle","R",1088,120,"50.2",-1.0276137192957593,5.68688419117647,0.3727335230549439,4.004981293580267
640455,"Manaea, Sean","L",1981,137,"27.9",2.7517773527924394,5.66449772841999,0.6558360429877058,4.55153098670885
641154,"López, Pablo","R",3023,142,"36.0",-2.2134358419568003,5.522256037049289,-0.25187306252185415,4.095243369432096
641360,"Bickford, Phil","R",1229,9999,"27.9",-2.2569123902246724,5.091708706265257,-0.17942623366677835,3.993657064929678
641482,"Cortes, Nestor","L",1068,147,"48.7",1.6626781820377925,5.7200374531835205,0.29208899604104493,4.163091125731873
641540,"Dunning, Dane","R",2655,140,"37.8",-1.9775432468692593,5.454316384180791,-0.1054020187585392,4.0004535153462175
641585,"France, J.P.","R",2202,117,"42.2",-1.3748565264838482,5.522016348773842,0.09346447262333221,4.192164999409061
641656,"Hamilton, Ian","R",979,147,"41.5",-1.550363470106251,6.0736874361593465,0.11644154472077622,4.595994593140441
641712,"Hudson, Dakota","R",1317,138,"41.5",-1.7417695967864903,6.280751708428246,0.03963960921015054,4.701555153437091
641793,"Littell, Zack","R",1313,9999,"43.0",-1.8711387423259604,6.151591774562071,-0.20457073288776842,4.597649528980047
641927,"Ober, Bailey","R",2326,142,"31.3",-2.353721661793247,5.832115219260533,-0.25743754201516456,4.559677270696444
