"last_name, first_name","pitcher","n_ff","n_si","n_fc","n_sl","n_ch","n_cu","n_fs","n_kn","n_st","n_sv"
"Estévez, Carlos","608032","66.3","0.5","","26.6","6.2","0.4","","","",""
"Hoeing, Bryan","663773","9.1","52.5","","31.8","2.3","","4.4","","",""
"Rogers, Tyler","643511","1.0","50.2","","48.8","","","","","",""
"Kimbrel, Craig","518886","67.2","","","","","31.8","","","1.0",""
"Cruz, Fernando","518585","35.0","0.6","23.9","4.6","","","35.9","","",""
"Payamps, Joel","606303","20.0","24.0","","43.8","12.2","","","","",""
"Clase, Emmanuel","661403","0.1","0.4","67.5","32.0","","","","","",""
"Hicks, Jordan","663855","10.8","64.2","","3.5","","","1.6","","19.9",""
"Graveman, Kendall","608665","22.5","39.4","","26.8","9.1","2.2","","","",""
"Harris, Hogan","663687","46.9","","18.9","","20.3","3.3","","","10.6",""
"Finnegan, Kyle","640448","69.9","0.1","","5.0","","","25.0","","",""
"Bednar, David","670280","57.9","0.1","","","","25.4","16.6","","",""
"García, Yimi","554340","33.6","15.4","","10.5","7.3","32.8","","","0.4",""
"Bummer, Aaron","607481","6.5","44.4","10.6","","0.5","","","","38.0",""
"Urquidy, José","664353","38.1","9.9","","","21.6","11.6","","","18.7",""
"Neris, Héctor","593576","51.9","15.4","","3.9","","","28.8","","",""
"Varland, Louis","686973","42.6","1.0","","32.0","11.3","","","","13.1",""
"Kaprielian, James","621076","41.3","14.1","0.2","30.3","8.0","6.1","","","",""
"Johnson, Pierce","572955","35.2","","","8.0","","56.7","","","",""
"Smith, Drew","622098","61.2","0.1","0.1","20.8","9.3","8.5","","","",""
"Teheran, Julio","527054","9.4","38.7","28.7","","11.8","11.5","","","",""
"Walker, Ryan","676254","1.1","48.5","","50.3","","0.1","","","",""
"Weathers, Ryan","677960","53.7","2.5","","","23.5","","","","20.3",""
"Baumann, Mike","657508","51.4","","","20.8","2.4","25.4","","","",""
