"name","id","total_runs","inf_of_runs","range_runs","arm_runs","dp_runs","catching_runs","framing_runs","throwing_runs","blocking_runs","outs_total","outs_2","outs_3","outs_4","outs_5","outs_6","outs_7","outs_8","outs_9"
"Walker, Christian",572233,1.8740663041475758,1.8740663041475758,1.6411500514994792,,0.2329162526480964,,,,,3948,0,3948,0,0,0,0,0,0
"Westburg, Jordan",676059,1.8415846366559698,1.8415846366559698,2.040005587435874,,-0.19842095077990424,,,,,1745,0,0,426,1319,0,0,0,0
"Fortes, Nick",663743,1.83393178344049,,,,,1.83393178344049,2.312559508409666,-1.4756833735928556,0.9970556486236796,1757,1757,0,0,0,0,0,0,0
"Lewis, Royce",668904,1.74380322378352,1.74380322378352,0.9089634679939613,-0.022868020775911786,0.8577077765654684,,,,,2478,0,0,0,2478,0,0,0,0
"Aranda, Jonathan",666018,1.7026776180420449,1.7026776180420449,0.497860411861864,,1.2048172061801816,,,,,2297,0,2297,0,0,0,0,0,0
"Díaz, Elias",553869,1.619893795980131,,,,,1.619893795980131,1.2779070450890369,-0.034942202749751114,0.3769289536408443,1950,1950,0,0,0,0,0,0,0
"Duran, Jarren",680776,1.587962381531438,1.587962381531438,-1.9631540862811674,3.5511164678126046,,,,,,4038,0,0,0,0,0,3447,582,9
"Davis, Henry",680779,1.5635737688031368,,,,,1.5635737688031368,-1.731080148021193,3.579830887260545,-0.2851769704362157,2045,2045,0,0,0,0,0,0,0
"Sanoja, Javier",691594,1.5622260994253114,1.5622260994253114,0.0012470041086523886,1.1004863296206193,0.46049276569603914,,,,,2355,0,3,626,767,225,469,237,0
"Goodman, Hunter",696100,1.490251386101021,,,,,1.490251386101021,1.5011714707029273,-0.7238580425066043,0.7129379579046972,2524,2524,0,0,0,0,0,0,0
"Cowser, Colton",681297,1.472762139067434,1.472762139067434,0.29182419187386277,1.1809379471935724,,,,,,2300,0,0,0,0,0,1083,1196,21
"Alvarez Jr., Nacho",805373,1.4691568138691433,1.4691568138691433,1.182349871281137,,0.286806942588006,,,,,1486,0,0,0,1486,0,0,0,0
"Butler, Lawrence",671732,1.3520045676919505,1.3520045676919505,3.2030576374500073,-1.8510530697580614,,,,,,3709,0,0,0,0,0,0,1366,2343
"Peraza, Oswald",672724,1.3415449194755096,1.3415449194755096,1.4502262849763967,0.04174096882803902,-0.15042233432892452,,,,,1949,0,326,270,1148,198,0,0,0
"Chourio, Jackson",694192,1.290929217632074,1.290929217632074,2.551435813688578,-1.260506596056504,,,,,,3416,0,0,0,0,0,753,2264,399
"Ritter, Ryan",690022,1.1948354424925842,1.1948354424925842,1.1123697045502166,0.20830931236378472,-0.12584357442141753,,,,,1520,0,0,726,0,794,0,0,0
"Marsh, Brandon",669016,1.1915416661774787,1.1915416661774787,0.8473774108777122,0.34416425529976574,,,,,,2856,0,0,0,0,0,1014,1833,9
"Gonzales, Nick",693304,1.1565094381720016,1.1565094381720016,3.0622189203447467,0.04638572407710237,-1.9520952062498513,,,,,2519,0,0,2192,0,327,0,0,0
