"last_name, first_name","pitcher","n_ff","n_si","n_fc","n_sl","n_ch","n_cu","n_fs","n_kn","n_st","n_sv"
"Martinez, Seth","661527","32.6","21.0","","","14.6","","","","31.9",""
"McFarland, T.J.","519008","","49.2","0.1","","12.3","","","","38.4",""
"Ruiz, José","614179","28.1","23.6","","3.8","3.2","41.2","","","",""
"Peguero, Elvis","665625","","49.3","","50.5","","0.1","","","",""
"Grove, Michael","675627","1.0","22.1","16.8","53.1","","7.0","","","",""
"Estévez, Carlos","608032","61.1","","","28.1","10.4","0.4","","","",""
"Ferguson, Tyler","621053","38.6","22.1","12.9","","2.2","","","","24.2",""
"Wilson, Justin","458677","49.6","","23.9","25.4","","","1.1","","",""
"Latz, Jacob","656641","49.4","","","22.8","22.8","5.0","","","",""
"Priester, Quinn","682990","13.6","30.2","1.1","27.9","12.7","14.5","","","",""
"Slaten, Justin","686580","29.2","","37.7","","","8.4","","","24.7",""
