"last_name, first_name","pitcher","n_ff","n_si","n_fc","n_sl","n_ch","n_cu","n_fs","n_kn","n_st","n_sv"
"Rodríguez, Yariel","684320","41.0","10.8","","28.2","","10.5","9.5","","",""
"Muñoz, Roddery","682610","27.0","22.7","20.7","20.3","9.3","","","","",""
"Fulmer, Carson","608334","22.7","24.3","","16.3","27.0","6.0","","","3.7",""
"Yamamoto, Yoshinobu","808967","40.5","2.8","6.1","3.2","","23.1","24.2","","0.1",""
"Paddack, Chris","663978","42.9","","","17.7","25.9","13.6","","","",""
"Schmidt, Clarke","657376","0.1","20.8","35.0","1.8","0.6","17.1","","","24.5",""
"Sandoval, Patrick","663776","15.9","17.5","","24.7","28.3","9.0","","","4.6",""
"Soroka, Michael","647336","32.3","21.4","","32.5","9.8","","","","","4.1"
"Walker, Taijuan","592836","12.5","27.4","9.5","0.8","","10.8","22.1","","16.9",""
"Avila, Pedro","658648","39.0","12.5","","6.8","22.0","16.1","","","3.7",""
"Tonkin, Michael","543859","37.8","17.1","","35.5","","","","","9.6",""
"Weathers, Ryan","677960","39.2","12.5","","0.6","26.0","","","","21.6",""
"Povich, Cade","700249","40.7","8.4","7.5","6.3","10.9","19.6","","","6.7",""
"Birdsong, Hayden","806185","44.6","","","18.3","18.4","18.7","","","",""
"Weaver, Luke","596133","48.3","0.1","22.1","0.4","27.7","1.2","","","",""
"Law, Derek","571882","13.5","9.9","37.6","30.3","5.1","3.6","","","",""
"Williams, Gavin","668909","51.5","","12.1","11.2","5.4","19.8","","","",""
"Megill, Tylor","656731","46.7","9.9","14.2","11.0","1.5","7.7","7.5","","1.5",""
"Stripling, Ross","548389","30.7","13.8","15.9","13.4","17.6","8.6","","","",""
"Liberatore, Matthew","669461","28.0","20.6","12.9","27.5","4.6","6.5","","","",""
"Ashcraft, Graham","668933","","15.9","48.4","32.0","3.7","","","","",""
"Vodnik, Victor","680767","63.2","0.1","","20.1","16.6","","","","",""
"Holton, Tyler","663947","15.1","21.8","27.3","","18.9","1.5","","","15.5",""
"Buehler, Walker","621111","28.9","16.4","20.9","0.8","5.2","19.2","","","8.7",""
"McKenzie, Triston","663474","52.4","","","21.0","","26.6","","","",""
"Abreu, Bryan","650556","46.3","0.1","","53.1","0.5","","","","",""
"Shuster, Jared","694363","38.2","4.0","","28.4","29.4","","","","",""
"Cecconi, Slade","677944","54.9","","0.1","23.7","12.2","8.9","","","0.2",""
"Miller, Erik","669062","49.7","","","16.4","33.9","","","","",""
"Darvish, Yu","506433","18.4","17.1","4.6","23.3","5.0","13.7","4.0","","14.0",""
"Akin, Keegan","669211","56.0","","","33.2","10.8","","","","",""
"Winckowski, Josh","670174","5.2","33.7","35.2","13.3","12.6","","","","",""
"Wentz, Joey","666214","36.5","","31.4","","19.1","13.0","","","",""
"Buttó, José","676130","31.4","23.1","","12.9","22.1","","","","10.5",""
"Walker, Ryan","676254","0.6","54.7","","44.8","","","","","",""
"Harris, Hogan","663687","56.0","0.2","0.2","","16.5","15.7","","","11.5",""
"Blackburn, Paul","621112","19.5","13.6","22.0","","18.1","10.2","","","16.6",""
"Robertson, David","502085","","1.4","63.4","6.8","1.7","26.7","","","",""
"Hjelle, Sean","663546","","55.5","10.1","","","34.4","","","",""
"Baz, Shane","669358","47.9","","","21.3","10.3","20.5","","","",""
"Leclerc, José","600917","34.8","7.1","15.6","31.9","10.2","0.4","","","",""
"Scott, Tayler","605463","48.5","5.7","","","","","23.7","","22.1",""
"Ross, Joe","605452","16.2","36.5","","37.3","8.3","1.7","","","",""
"Fernandez, Ryan","681676","40.9","0.6","10.4","48.1","","","","","",""
"Beeks, Jalen","656222","55.5","0.1","17.8","","25.6","1.0","","","",""
"Kinley, Tyler","641755","33.2","0.6","","62.9","3.4","","","","",""
"Ginkel, Kevin","656464","52.7","8.9","","38.4","","","","","",""
"Richards, Trevor","670950","45.4","0.9","","0.3","53.3","","","","",""
"Martinez, Justin","679885","11.8","44.8","","21.7","","","21.8","","",""
"Bradford, Cody","674003","52.3","","0.7","7.0","27.3","12.8","","","",""
"Banks, Tanner","621383","30.9","8.7","","33.0","12.6","","","","14.8",""
"Puk, A.J.","640462","43.2","14.7","","21.7","1.4","","2.6","","16.4",""
"Farmer, Buck","571656","20.4","23.8","","34.8","21.0","","","","",""
"Smith, Cade","671922","69.1","","","","","","20.7","","10.2",""
"Hader, Josh","623352","0.2","71.4","","27.4","1.0","","","","",""
"Scott, Tanner","656945","59.2","0.1","","40.7","0.1","","","","",""
"Vest, Will","676684","56.0","12.6","","21.6","9.8","","","","",""
"Strickland, Hunter","519326","31.7","9.2","31.4","13.1","6.1","","","","8.5",""
"Sands, Cole","663485","28.9","10.2","29.6","","","14.1","17.2","","",""
"Brieske, Beau","689225","39.7","16.6","","17.3","26.5","","","","",""
"Knack, Landon","689017","46.3","","","22.4","14.5","16.2","","","0.6",""
"Kelly, Merrill","518876","20.4","13.8","25.2","11.8","20.9","7.8","","","",""
"Kopech, Michael","656629","78.5","","10.5","11.0","","","","","",""
"Thornton, Trent","663423","19.8","9.5","4.1","21.7","2.5","12.0","","","30.3",""
"Cruz, Fernando","518585","32.3","0.2","25.3","0.4","","","41.7","","",""
"Blach, Ty","621389","","50.8","13.7","","24.5","10.9","","","",""
"Houser, Adrian","605288","16.8","44.5","","17.3","12.7","8.7","","","",""
"Chapman, Aroldis","547973","33.4","27.7","","26.6","","","12.2","","",""
"De Los Santos, Enyel","660853","49.3","0.1","","42.9","7.6","","","","",""
"Barnes, Jacob","606930","47.3","","49.2","3.5","","","","","",""
"Doval, Camilo","666808","0.3","13.8","34.9","51.1","","","","","",""
"Adam, Jason","592094","37.1","0.4","1.4","19.2","25.8","","","","16.1",""
"Armstrong, Shawn","542888","33.2","27.1","31.0","","","","","","5.7","3.0"
"Vesia, Alex","681911","63.1","0.1","","31.7","5.0","","","","",""
"Santana, Dennis","642701","26.4","13.2","19.5","32.3","8.4","0.2","","","",""
"Festa, David","701581","40.2","","","31.8","28.0","","","","",""
"Cronin, Declan","686539","7.2","40.6","","51.5","","","","","0.7",""
"Bellozo, Valente","678368","37.6","","25.1","","13.9","12.4","0.5","","10.4",""
"Jiménez, Joe","641729","46.2","","","49.6","4.2","","","","",""
"Kerkering, Orion","689147","29.2","15.2","","","","","","","55.7",""
"Holmes, Clay","605280","0.3","56.2","","23.0","","","","","20.5",""
"Luzardo, Jesús","666200","35.6","11.7","","29.4","23.3","","","","",""
"Rogers, Taylor","573124","","52.8","","","","","","","47.2",""
"Lawrence, Justin","664875","0.7","58.2","","","","","","","41.1",""
"Maton, Phil","664208","","9.3","35.5","4.0","","28.8","","","22.4",""
"Gaddis, Hunter","683769","38.3","","","44.8","16.8","","","","",""
"Wesneski, Hayden","669713","36.0","11.8","8.7","","2.8","","","","40.7",""
"Contreras, Roansy","672710","37.2","10.4","","25.0","10.5","9.4","","","7.4",""
"Jax, Griffin","643377","30.4","9.3","","","16.7","6.2","","","37.5",""
"Finnegan, Kyle","640448","67.6","","","5.5","","","26.9","","",""
"Baumann, Mike","657508","40.6","0.2","","23.9","1.8","33.5","","","",""
"Domínguez, Seranthony","622554","40.8","17.8","","21.8","1.6","","","","18.0",""
