"id","name","swings_competitive","percent_swings_competitive","contact","avg_bat_speed","hard_swing_rate","squared_up_per_bat_contact","squared_up_per_swing","blast_per_bat_contact","blast_per_swing","swing_length","swords","batter_run_value","whiffs","whiff_per_swing","batted_ball_events","batted_ball_event_per_swing"
592332,"Gausman, Kevin",1420,0.9354413702239789,1057,"72.361854387",0.28521126760563376,0.304635761589404,0.2267605633802817,0.13718070009460737,0.10211267605633803,"7.432691042",20,-45.558852200442914,363,0.2556338028169014,493,0.3471830985915493
592836,"Walker, Taijuan",834,0.9215469613259668,689,"72.352031043",0.27218225419664266,0.3599419448476052,0.2973621103117506,0.16545718432510886,0.1366906474820144,"7.35793693",16,-6.755448827942897,145,0.17386091127098321,381,0.4568345323741007
605288,"Houser, Adrian",831,0.9121844127332601,688,"72.351600674",0.26594464500601683,0.35174418604651164,0.29121540312876054,0.16424418604651161,0.13598074608904934,"7.295541384",14,-19.244475481946353,143,0.17208182912154033,346,0.41636582430806257
663554,"Mize, Casey",1054,0.9294532627865961,801,"72.351495806",0.2836812144212524,0.35081148564294634,0.2666034155597723,0.14856429463171036,0.11290322580645161,"7.295027021",10,-8.438164354260579,253,0.24003795066413663,408,0.3870967741935484
645261,"Alcantara, Sandy",1299,0.941304347826087,1038,"72.344378876",0.2809853733641261,0.3217726396917148,0.2571208622016936,0.13776493256262043,0.1100846805234796,"7.375356959",17,-25.889973456388347,261,0.20092378752886836,492,0.3787528868360277
667755,"Soriano, José",1080,0.903010033444816,811,"72.327654009",0.29074074074074086,0.3785450061652281,0.28425925925925927,0.18249075215782984,0.13703703703703704,"7.379573389",35,-37.069307131431025,269,0.2490740740740741,437,0.4046296296296296
664285,"Valdez, Framber",1201,0.9133079847908745,909,"72.323644213",0.26394671107410494,0.3795379537953795,0.28726061615320564,0.18811881188118812,0.14238134887593673,"7.489114213",31,-38.83943033467381,292,0.24313072439633637,491,0.40882597835137385
641793,"Littell, Zack",1300,0.92790863668808,1040,"72.318254354",0.28692307692307695,0.3557692307692308,0.2846153846153846,0.15865384615384615,0.12692307692307692,"7.362919454",15,-22.838035770192363,260,0.2,542,0.4169230769230769
671737,"Bradley, Taj",938,0.9036608863198459,732,"72.308933209",0.27078891257995735,0.3114754098360656,0.24307036247334754,0.14617486338797814,0.1140724946695096,"7.225324062",26,-20.112994279482105,206,0.21961620469083157,365,0.38912579957356075
663436,"Martin, Davis",1032,0.9305680793507665,825,"72.306264283",0.27034883720930225,0.343030303030303,0.2742248062015504,0.17333333333333334,0.1385658914728682,"7.233141298",22,-15.040136187149818,207,0.2005813953488372,413,0.4001937984496124
683004,"Leiter, Jack",1108,0.9172185430463576,856,"72.286618628",0.2689530685920577,0.3130841121495327,0.24187725631768953,0.1366822429906542,0.1055956678700361,"7.237691173",22,-34.52630540114072,252,0.22743682310469315,392,0.35379061371841153
669160,"May, Dustin",870,0.925531914893617,706,"72.250118057",0.28850574712643684,0.3314447592067989,0.2689655172413793,0.16005665722379603,0.12988505747126436,"7.203075977",11,-10.474227208710632,164,0.18850574712643678,356,0.4091954022988506
