"fielder_name","player_id","team_name","primary_position","primary_position_name","total_throws","total_throws_1b","total_throws_2b","total_throws_3b","total_throws_ss","total_throws_lf","total_throws_cf","total_throws_rf","total_throws_inf","total_throws_of","max_arm_strength","arm_1b","arm_2b","arm_3b","arm_ss","arm_lf","arm_cf","arm_rf","arm_inf","arm_of","arm_overall"
"Lowe, Nathaniel","663993","NA","3","First Baseman","554","554","0","0","0","0","0","0","0","0","79.1","77",,,,,,,,,"77"
"France, Ty","664034","NA","3","First Baseman","459","457","2","0","0","0","0","0","2","0","76","68.7",,,,,,,,,"68.7"
"Wade Jr., LaMonte","664774","NA","3","First Baseman","303","246","0","0","0","2","0","55","0","57","89.3","74.5",,,,,,"87.5",,"87.5","87.5"
"Clemens, Kody","665019","NA","3","First Baseman","361","157","168","0","0","18","1","17","168","36","90.4","77.4","76.7",,,,,,"76.7",,"77.4"
"Guerrero Jr., Vladimir","665489","NA","3","First Baseman","580","580","0","0","0","0","0","0","0","0","86.9","82.8",,,,,,,,,"82.8"
"Aranda, Jonathan","666018","NA","3","First Baseman","293","293","0","0","0","0","0","0","0","0","78","76",,,,,,,,,"76"
"Steer, Spencer","668715","NA","3","First Baseman","444","424","0","0","0","20","0","0","0","20","89.3","74.7",,,,,,,,,"74.7"
"Burger, Jake","669394","NA","3","First Baseman","442","442","0","0","0","0","0","0","0","0","80.5","78.1",,,,,,,,,"78.1"
"Toglia, Michael","669911","NA","3","First Baseman","394","394","0","0","0","0","0","0","0","0","76.5","72.1",,,,,,,,,"72.1"
"Raley, Luke","670042","NA","3","First Baseman","184","119","0","0","0","3","10","52","0","65","93.2","67.6",,,,,,"88.5",,"88.1","88.1"
"Mervis, Matt","670223","NA","3","First Baseman","127","127","0","0","0","0","0","0","0","0","85.7","80.3",,,,,,,,,"80.3"
"Casas, Triston","671213","NA","3","First Baseman","162","162","0","0","0","0","0","0","0","0","76.6","75.7",,,,,,,,,"75.7"
"Wagaman, Eric","676572","NA","3","First Baseman","479","437","0","1","0","41","0","0","1","41","82.8","77.4",,,,,,,,,"77.4"
"Duran, Ezequiel","677649","NA","3","First Baseman","223","54","44","30","75","9","0","11","149","20","98.2",,,,"87.8",,,,"87.3",,"87.3"
"Torkelson, Spencer","679529","NA","3","First Baseman","603","603","0","0","0","0","0","0","0","0","73","70.7",,,,,,,,,"70.7"
"Bernabel, Warming","682653","NA","3","First Baseman","122","120","0","2","0","0","0","0","2","0","82.3","81.9",,,,,,,,,"81.9"
"Locklear, Tyler","682988","NA","3","First Baseman","192","192","0","0","0","0","0","0","0","0","74.7","74.5",,,,,,,,,"74.5"
"Vaughn, Andrew","683734","NA","3","First Baseman","291","291","0","0","0","0","0","0","0","0","82.5","79.9",,,,,,,,,"79.9"
"Busch, Michael","683737","NA","3","First Baseman","663","663","0","0","0","0","0","0","0","0","94.9","75.3",,,,,,,,,"75.3"
"Pasquantino, Vinnie","686469","NA","3","First Baseman","463","463","0","0","0","0","0","0","0","0","98.4","77.5",,,,,,,,,"77.5"
"Horwitz, Spencer","687462","NA","3","First Baseman","338","336","2","0","0","0","0","0","2","0","80.8","75.5",,,,,,,,,"75.5"
"Mayo, Coby","691723","NA","3","First Baseman","251","243","0","8","0","0","0","0","8","0","85.7","77.1",,,,,,,,,"77.1"
"Schanuel, Nolan","694384","NA","3","First Baseman","505","505","0","0","0","0","0","0","0","0","79.9","77.3",,,,,,,,,"77.3"
"Kurtz, Nick","701762","NA","3","First Baseman","395","395","0","0","0","0","0","0","0","0","80.4","74.1",,,,,,,,,"74.1"
"Rojas, Miguel","500743","NA","4","Second Baseman","347","0","209","59","79","0","0","0","347","0","86.8",,"77.1",,"81.1",,,,"79.4",,"79.4"
"Altuve, Jose","514888","NA","4","Second Baseman","376","0","264","0","0","112","0","0","264","112","86.6",,"75",,,"80",,,"75","80","80"
"LeMahieu, DJ","518934","NA","4","Second Baseman","157","0","157","0","0","0","0","0","157","0","77.4",,"75.3",,,,,,"75.3",,"75.3"
"Semien, Marcus","543760","NA","4","Second Baseman","557","0","557","0","0","0","0","0","557","0","83.7",,"76.9",,,,,,"76.9",,"76.9"
"Vargas, Ildemaro","545121","NA","4","Second Baseman","130","47","65","16","2","0","0","0","83","0","75.9",,,,,,,,"73.7",,"73.7"
"Farmer, Kyle","571657","NA","4","Second Baseman","283","58","148","14","63","0","0","0","225","0","82.6",,"74.7",,,,,,"76.7",,"76.7"
"Iglesias, Jose","578428","NA","4","Second Baseman","344","0","175","50","115","4","0","0","340","4","93.8",,"79",,"81.1",,,,"81.1",,"81.1"
"Marte, Ketel","606466","NA","4","Second Baseman","560","0","560","0","0","0","0","0","560","0","97.3",,"83.2",,,,,,"83.2",,"83.2"
"Frazier, Adam","624428","NA","4","Second Baseman","401","0","303","6","0","71","0","21","309","92","87.7",,"75.9",,,"79.9",,,"76.5","81.6","81.6"
"Sosa, Edmundo","624641","NA","4","Second Baseman","240","0","116","70","48","5","1","0","234","6","89.1",,"77.6",,,,,,"81.6",,"81.6"
"Cronenworth, Jake","630105","NA","4","Second Baseman","459","39","386","0","34","0","0","0","420","0","85",,"77.3",,,,,,"77.5",,"77.5"
"Anderson, Tim","641313","NA","4","Second Baseman","150","0","86","0","64","0","0","0","150","0","87.3",,"79.3",,,,,,"84.4",,"84.4"
"Hampson, Garrett","641658","NA","4","Second Baseman","120","0","66","6","12","7","23","6","84","36","85.2",,,,,,,,"76.9",,"76.9"
"Estrada, Thairo","642731","NA","4","Second Baseman","207","0","207","0","0","0","0","0","207","0","83.1",,"76.9",,,,,,"76.9",,"76.9"
"Dubón, Mauricio","643289","NA","4","Second Baseman","412","7","157","48","117","47","32","4","322","83","95.1",,"79.6",,"84.9",,,,"83.4","90.4","90.4"
"McNeil, Jeff","643446","NA","4","Second Baseman","435","0","339","0","0","27","64","5","339","96","87.7",,"79.2",,,,"83.5",,"79.2","83.7","83.7"
"Albies, Ozzie","645277","NA","4","Second Baseman","587","0","587","0","0","0","0","0","587","0","74.6",,"70.6",,,,,,"70.6",,"70.6"
