"name","id","total_runs","inf_of_runs","range_runs","arm_runs","dp_runs","catching_runs","framing_runs","throwing_runs","blocking_runs","outs_total","outs_2","outs_3","outs_4","outs_5","outs_6","outs_7","outs_8","outs_9"
"Santana, Carlos",467793,1.886545972169625,1.886545972169625,2.1384566498811055,,-0.25191067771148135,,,,,3458,0,3458,0,0,0,0,0,0
"Tauchman, Mike",643565,1.7996081243052857,1.7996081243052857,0.2366751901473184,1.5629329341579665,,,,,,2099,0,0,0,0,0,87,1752,260
"Trejo, Alan",676701,1.7825952696836647,1.7825952696836647,1.2090045668593576,,0.5735907028243078,,,,,1587,0,0,999,405,177,0,0,0
"Thomas, Lane",657041,1.7753217455502508,1.7753217455502508,-3.1601006850857107,4.935422430635959,,,,,,4020,0,0,0,0,0,0,140,3877
"De La Cruz, Elly",682829,1.6175375155878993,1.6175375155878993,2.904225791812565,0.01151193780301925,-1.298200214027686,,,,,2550,0,0,0,777,1773,0,0,0
"Farmer, Kyle",571657,1.5390249563015022,1.5390249563015022,1.458057348811267,0.008516192329984722,0.07245141516024897,,,,,2389,0,15,669,870,829,6,0,0
"Thomas, Alek",677950,1.4536300817711643,1.4536300817711643,3.1308803904176994,-1.6772503086465358,,,,,,2760,0,0,0,0,0,0,2760,0
"Vargas, Ildemaro",545121,1.3707021182674266,1.3707021182674266,1.4848376860943788,-0.19196109284062332,0.07782552501367135,,,,,1834,0,0,321,996,347,162,0,2
"Lowe, Brandon",664040,1.367116573223996,1.367116573223996,3.0065593271994056,0.21735993291256459,-1.8568026868879741,,,,,2590,0,0,2590,0,0,0,0,0
"Suwinski, Jack",669261,1.3183967812992654,1.3183967812992654,1.8579942651573231,-0.5395974838580595,,,,,,3339,0,0,0,0,0,257,2794,288
"Pham, Tommy",502054,1.3032487457861899,1.3032487457861899,-0.11437280355421958,1.417621549340409,,,,,,1982,0,0,0,0,0,1613,135,234
"Higashioka, Kyle",543309,1.2793889807398733,,,,,1.2793889807398733,7.033823248619388,-2.6875452423115505,-3.06688902556797,1926,1926,0,0,0,0,0,0,0
"Arcia, Orlando",606115,1.191900933710964,1.191900933710964,2.462506464701789,0.1477398590764711,-1.4183453900672967,,,,,3630,0,0,0,0,3630,0,0,0
"Rivera, Emmanuel",656896,1.1818823420202682,1.1818823420202682,1.3175023685800948,,-0.13562002655982697,,,,,1584,0,174,0,1410,0,0,0,0
