"player_name","player_id","year","xwoba","xba","xslg","xiso","xobp","brl","brl_percent","exit_velocity","max_ev","hard_hit_percent","k_percent","bb_percent","whiff_percent","chase_percent","arm_strength","sprint_speed","oaa","bat_speed","squared_up_rate","swing_length"
"Westburg, Jordan","676059","2024",88,90,92,84,64,72,80,80,74,77,48,8,22,35,31,91,13,34,70,91
"Singleton, Jon","572138","2024",42,19,36,47,53,37,59,43,96,34,18,91,16,88,2,16,5,,,
"Triolo, Jared","669707","2024",20,19,12,17,40,16,23,34,35,44,21,67,34,72,51,80,83,25,26,8
"McKinstry, Zach","656716","2024",,,,,,,,,36,,,,,,58,79,81,,,
"Slater, Austin","596103","2024",,,,,,,,,18,,,,,,66,74,,,,
"Cooper, Garrett","643265","2024",,,,,,,,,59,,,,,,,33,,,,
"Freeman, Tyler","671289","2024",34,31,11,12,72,3,6,22,50,21,93,40,91,46,92,74,16,,,
"Valdez, Enmanuel","665839","2024",,,,,,,,,70,,,,,,6,21,3,,,
"Kiermaier, Kevin","595281","2024",,,,,,,,,20,,,,,,98,86,96,,,
"Hayes, Ke'Bryan","663647","2024",11,48,8,3,22,2,3,46,65,65,68,17,84,52,25,25,90,,,
"Olson, Matt","621566","2024",77,43,72,78,75,92,84,85,91,83,30,77,39,48,21,10,85,80,5,48
"Cronenworth, Jake","630105","2024",73,72,61,56,82,68,50,40,71,29,72,64,89,85,15,59,51,17,65,72
"Hurtubise, Jacob","674441","2024",,,,,,,,,5,,,,,,,39,,,,
"Abrams, CJ","682928","2024",48,45,52,51,50,54,40,29,60,52,50,28,48,11,59,81,1,56,49,29
"Arraez, Luis","650333","2024",62,99,50,5,85,6,1,9,39,1,100,3,100,11,12,30,1,1,100,100
"Noel, Jhonkensy","678877","2024",,,,,,,,,97,,,,,,76,70,,,,
"Duran, Jarren","680776","2024",74,84,73,67,69,87,63,76,91,68,48,40,47,51,75,96,95,77,31,18
"Vázquez, Christian","543877","2024",,,,,,,,,44,,,,,,,4,,,,
"Rosario, Eguy","666703","2024",,,,,,,,,32,,,,,,,57,,,,
"Lee, Brooks","686797","2024",,,,,,,,,30,,,,,,30,12,,,,
"Wendle, Joey","621563","2024",,,,,,,,,5,,,,,,,56,,,,
"Malloy, Justyn-Henry","669234","2024",,,,,,,,,34,,,,,,,29,,,,
"Vilade, Ryan","668723","2024",,,,,,,,,31,,,,,,,82,,,,
"d'Arnaud, Travis","518595","2024",58,27,70,79,29,39,71,64,58,55,23,36,9,57,,13,,,,
"Knizner, Andrew","668800","2024",,,,,,,,,25,,,,,,,5,,,,
"Bride, Jonah","681146","2024",,,,,,,,,20,,,,,,5,38,,,,
"Tromp, Chadwick","644433","2024",,,,,,,,,31,,,,,,,1,,,,
"Paris, Kyren","677347","2024",,,,,,,,,64,,,,,,39,89,,,,
"Colás, Oscar","693049","2024",,,,,,,,,50,,,,,,,29,,,,
"Ford, Mike","645801","2024",,,,,,,,,26,,,,,,,1,,,,
"Scott II, Victor","687363","2024",,,,,,,,,27,,,,,,51,99,,,,
"Tucker, Cole","657061","2024",,,,,,,,,15,,,,,,,67,,,,
"Báez, Javier","595879","2024",,,,,,,,,73,,,,,,80,55,38,,,
"Garver, Mitch","641598","2024",10,1,7,44,16,30,55,64,43,45,7,96,14,95,,17,,,,
"Taylor, Tyrone","621438","2024",29,51,42,37,23,20,42,18,67,22,39,14,65,23,90,90,81,,,
"Sánchez, Ali","645305","2024",,,,,,,,,16,,,,,,,5,,,,
"Rosario, Eddie","592696","2024",,,,,,,,,63,,,,,,52,47,,,,
"McCutchen, Andrew","457705","2024",56,11,56,72,54,72,81,38,58,31,26,88,26,100,,34,,64,31,18
"Lindor, Francisco","596019","2024",95,92,95,95,89,97,90,77,85,83,69,52,54,64,35,58,99,58,82,18
"Tauchman, Mike","643565","2024",64,31,38,40,88,20,45,49,64,55,60,98,63,88,43,45,,,,
"Carpenter, Kerry","681481","2024",,,,,,,,,55,,,,,,81,60,,,,
"Arenado, Nolan","571448","2024",24,64,18,11,44,18,6,9,31,12,92,32,88,39,44,9,95,28,74,1
"Jung, Jace","690291","2024",,,,,,,,,30,,,,,,,18,,,,
